seed,method,instance,delta_kind,objective,initial_objective,proven_optimal,best_known,final_gap,primal_integral
6,cpsat_cold,0,base,76,,False,76,0.0,0.016827194542872202
6,cpsat_cold,1,activity_insertion,76,,False,76,0.0,0.006840770080041119
6,cpsat_cold,2,activity_cancellation,76,,False,76,0.0,0.0035601608105935156
6,cpsat_cold,3,resource_capacity_reduction,78,,False,78,0.0,0.005179922192138083
6,cpsat_cold,4,duration_jitter,78,,False,78,0.0,0.005254317382143479
6,cpsat_cold,5,activity_cancellation,77,,False,77,0.0,0.019559519006923605
6,cpsat_cold,6,resource_capacity_reduction,95,,False,95,0.0,0.008597695649797588
6,cpsat_cold,7,duration_jitter,95,,False,95,0.0,0.008293919416686741
6,cpsat_cold,8,activity_insertion,95,,False,95,0.0,0.014095066696111307
6,boot_cold,0,base,76,,False,76,0.0,0.016136685062424237
6,boot_cold,1,activity_insertion,76,85.0,False,76,0.0,0.005525482244736753
6,boot_cold,2,activity_cancellation,76,76.0,False,76,0.0,0.00022127474949229509
6,boot_cold,3,resource_capacity_reduction,78,89.0,False,78,0.0,0.0036772691819351166
6,boot_cold,4,duration_jitter,78,78.0,False,78,0.0,0.00019336837431183085
6,boot_cold,5,activity_cancellation,77,78.0,False,77,0.0,0.011952860501134473
6,boot_cold,6,resource_capacity_reduction,95,111.0,False,95,0.0,0.006599594532982384
6,boot_cold,7,duration_jitter,95,95.0,False,95,0.0,0.00023913350014481694
6,boot_cold,8,activity_insertion,95,96.0,False,95,0.0,0.0031896348472448726
7,cpsat_cold,0,base,92,,False,92,0.0,0.007791318150339065
7,cpsat_cold,1,duration_jitter,92,,False,92,0.0,0.007799615042210422
7,cpsat_cold,2,duration_jitter,92,,False,92,0.0,0.007785334702179092
7,cpsat_cold,3,resource_capacity_reduction,92,,False,92,0.0,0.014549600019088994
7,cpsat_cold,4,activity_cancellation,91,,False,91,0.0,0.013726245687943808
7,cpsat_cold,5,duration_jitter,91,,False,91,0.0,0.013655824162944537
7,cpsat_cold,6,duration_jitter,91,,False,91,0.0,0.013544446180626087
7,cpsat_cold,7,activity_insertion,91,,False,91,0.0,0.010296689627836343
7,cpsat_cold,8,activity_insertion,91,,False,91,0.0,0.015496611717325932
7,boot_cold,0,base,92,,False,92,0.0,0.007929641772060004
7,boot_cold,1,duration_jitter,92,92.0,False,92,0.0,0.0002720482516451739
7,boot_cold,2,duration_jitter,92,92.0,False,92,0.0,0.00023910500021884218
7,boot_cold,3,resource_capacity_reduction,92,109.0,False,92,0.0,0.01026923659620756
7,boot_cold,4,activity_cancellation,91,92.0,False,91,0.0,0.00463170530253722
7,boot_cold,5,duration_jitter,91,91.0,False,91,0.0,0.00020797524848603643
7,boot_cold,6,duration_jitter,91,91.0,False,91,0.0,0.00021124812701600604
7,boot_cold,7,activity_insertion,91,91.0,False,91,0.0,0.00021277237465255894
7,boot_cold,8,activity_insertion,91,94.0,False,91,0.0,0.008794458455628085
8,cpsat_cold,0,base,104,,False,104,0.0,0.020810925728780537
8,cpsat_cold,1,duration_jitter,105,,False,104,0.009615384615384616,0.03539257969466165
8,cpsat_cold,2,activity_insertion,110,,False,109,0.009174311926605505,0.019681694674236996
8,cpsat_cold,3,resource_capacity_reduction,148,,True,148,0.0,0.002098189499520231
8,cpsat_cold,4,resource_capacity_reduction,148,,True,148,0.0,0.0021279359841443963
8,cpsat_cold,5,resource_capacity_reduction,148,,True,148,0.0,0.0021692959999199957
8,cpsat_cold,6,duration_jitter,148,,True,148,0.0,0.002152504752302775
8,cpsat_cold,7,resource_capacity_reduction,148,,True,148,0.0,0.0021399746219685767
8,cpsat_cold,8,activity_insertion,151,,True,151,0.0,0.002976530427600809
8,boot_cold,0,base,104,,False,104,0.0,0.020783154382045792
8,boot_cold,1,duration_jitter,104,104.0,False,104,0.0,0.00028897450101794675
8,boot_cold,2,activity_insertion,109,109.0,False,109,0.0,0.00028139025016571395
8,boot_cold,3,resource_capacity_reduction,148,160.0,True,148,0.0,0.0004078674829616904
8,boot_cold,4,resource_capacity_reduction,148,155.0,True,148,0.0,0.00046083859266415146
8,boot_cold,5,resource_capacity_reduction,148,159.0,True,148,0.0,0.000449982030413348
8,boot_cold,6,duration_jitter,148,148.0,True,148,0.0,0.0003057079993595835
8,boot_cold,7,resource_capacity_reduction,148,148.0,True,148,0.0,0.0002996288749272935
8,boot_cold,8,activity_insertion,151,151.0,True,151,0.0,0.0003202972511644475
9,cpsat_cold,0,base,67,,False,67,0.0,0.008360433751789319
9,cpsat_cold,1,resource_capacity_reduction,68,,False,68,0.0,0.0024708476612966693
9,cpsat_cold,2,duration_jitter,67,,False,67,0.0,0.014548984486594495
9,cpsat_cold,3,duration_jitter,67,,False,67,0.0,0.014519626880509852
9,cpsat_cold,4,activity_insertion,68,,False,68,0.0,0.0028239103123055163
9,cpsat_cold,5,activity_insertion,68,,False,68,0.0,0.004043575152643504
9,cpsat_cold,6,duration_jitter,68,,False,68,0.0,0.006095564675460456
9,cpsat_cold,7,activity_insertion,68,,False,68,0.0,0.009127008026606584
9,cpsat_cold,8,activity_insertion,68,,False,68,0.0,0.006250601101836603
9,boot_cold,0,base,67,,False,67,0.0,0.008516527424401815
9,boot_cold,1,resource_capacity_reduction,68,79.0,False,68,0.0,0.0017146785920725534
9,boot_cold,2,duration_jitter,67,69.0,False,67,0.0,0.013208229040011153
9,boot_cold,3,duration_jitter,67,67.0,False,67,0.0,0.00022492450079880655
9,boot_cold,4,activity_insertion,68,71.0,False,68,0.0,0.0015967886670563637
9,boot_cold,5,activity_insertion,68,71.0,False,68,0.0,0.002966754080262035
9,boot_cold,6,duration_jitter,68,70.0,False,68,0.0,0.00484858648322937
9,boot_cold,7,activity_insertion,68,73.0,False,68,0.0,0.008222227684574831
9,boot_cold,8,activity_insertion,68,76.0,False,68,0.0,0.005415280400858832
10,cpsat_cold,0,base,107,,True,107,0.0,0.001791773054175673
10,cpsat_cold,1,activity_insertion,107,,True,107,0.0,0.002238521657762538
10,cpsat_cold,2,activity_insertion,108,,False,108,0.0,0.010055022717972827
10,cpsat_cold,3,duration_jitter,109,,False,109,0.0,0.0017665262798174743
10,cpsat_cold,4,activity_cancellation,107,,True,107,0.0,0.003053903001715281
10,cpsat_cold,5,resource_capacity_reduction,107,,True,107,0.0,0.00533513393241256
10,cpsat_cold,6,activity_insertion,110,,False,110,0.0,0.004898582837730911
10,cpsat_cold,7,activity_insertion,110,,False,110,0.0,0.011317813010662743
10,cpsat_cold,8,activity_insertion,110,,False,110,0.0,0.0067621359530180185
10,boot_cold,0,base,107,,True,107,0.0,0.0018567067440969122
10,boot_cold,1,activity_insertion,107,107.0,True,107,0.0,0.00017062137703760527
10,boot_cold,2,activity_insertion,108,113.0,False,108,0.0,0.008829282511787486
10,boot_cold,3,duration_jitter,109,110.0,False,109,0.0,0.0004126527159431535
10,boot_cold,4,activity_cancellation,107,109.0,True,107,0.0,0.0013055897019784483
10,boot_cold,5,resource_capacity_reduction,107,114.0,True,107,0.0,0.004134060771626945
10,boot_cold,6,activity_insertion,110,113.0,False,110,0.0,0.003433391588226765
10,boot_cold,7,activity_insertion,110,110.0,False,110,0.0,0.00021330075105652213
10,boot_cold,8,activity_insertion,110,112.0,False,110,0.0,0.004862935163724946
